word,type,
able,ADJECTIVE,
abler,ADJECTIVE,
ablest,ADJECTIVE,
abnormal,ADJECTIVE,
above,ADJECTIVE,
absent,ADJECTIVE,
absenter,ADJECTIVE,
absentest,ADJECTIVE,
absolute,ADJECTIVE,
abstract,ADJECTIVE,
absurd,ADJECTIVE,
academic,ADJECTIVE,
acceptable,ADJECTIVE,
accessible,ADJECTIVE,
accurate,ADJECTIVE,
active,ADJECTIVE,
actual,ADJECTIVE,
acute,ADJECTIVE,
additional,ADJECTIVE,
adequate,ADJECTIVE,
adjacent,ADJECTIVE,
administrative,ADJECTIVE,
adverse,ADJECTIVE,
adverser,ADJECTIVE,
adversest,ADJECTIVE,
advisory,ADJECTIVE,
aesthetic,ADJECTIVE,
afraid,ADJECTIVE,
aggregate,ADJECTIVE,
aggressive,ADJECTIVE,
agricultural,ADJECTIVE,
alien,ADJECTIVE,
alive,ADJECTIVE,
all,ADJECTIVE,
alone,ADJECTIVE,
alright,ADJECTIVE,
alternative,ADJECTIVE,
amateur,ADJECTIVE,
ambiguous,ADJECTIVE,
ambitious,ADJECTIVE,
ample,ADJECTIVE,
ampler,ADJECTIVE,
amplest,ADJECTIVE,
ancient,ADJECTIVE,
angrier,ADJECTIVE,
angriest,ADJECTIVE,
angry,ADJECTIVE,
annual,ADJECTIVE,
anonymous,ADJECTIVE,
anxious,ADJECTIVE,
apparent,ADJECTIVE,
applicable,ADJECTIVE,
appropriate,ADJECTIVE,
arbitrary,ADJECTIVE,
archaeological,ADJECTIVE,
architectural,ADJECTIVE,
arctic,ADJECTIVE,
artificial,ADJECTIVE,
artistic,ADJECTIVE,
ashamed,ADJECTIVE,
asleep,ADJECTIVE,
assistant,ADJECTIVE,
atomic,ADJECTIVE,
attractive,ADJECTIVE,
authentic,ADJECTIVE,
automatic,ADJECTIVE,
autonomous,ADJECTIVE,
available,ADJECTIVE,
average,ADJECTIVE,
awake,ADJECTIVE,
aware,ADJECTIVE,
awful,ADJECTIVE,
awkward,ADJECTIVE,
back,ADJECTIVE,
bad,ADJECTIVE,
bare,ADJECTIVE,
barer,ADJECTIVE,
barest,ADJECTIVE,
basic,ADJECTIVE,
bass,ADJECTIVE,
beautiful,ADJECTIVE,
behavioural,ADJECTIVE,
beneficial,ADJECTIVE,
best,ADJECTIVE,
better,ADJECTIVE,
big,ADJECTIVE,
bigger,ADJECTIVE,
bilateral,ADJECTIVE,
biological,ADJECTIVE,
bitter,ADJECTIVE,
bizarre,ADJECTIVE,
black,ADJECTIVE,
blacker,ADJECTIVE,
blackest,ADJECTIVE,
blank,ADJECTIVE,
bleak,ADJECTIVE,
