word,type,
abnormally,ADVERB,
abruptly,ADVERB,
absently,ADVERB,
accidentally,ADVERB,
accusingly,ADVERB,
actually,ADVERB,
adventurously,ADVERB,
adversely,ADVERB,
almost,ADVERB,
always,ADVERB,
amazingly,ADVERB,
angrily,ADVERB,
anxiously,ADVERB,
arrogantly,ADVERB,
awkwardly,ADVERB,
aback,ADVERB,
abandonedly,ADVERB,
abashedly,ADVERB,
abeam,ADVERB,
abhorrently,ADVERB,
abidingly,ADVERB,
abjectly,ADVERB,
abloom,ADVERB,
ably,ADVERB,
aboard,ADVERB,
abominably,ADVERB,
aboriginally,ADVERB,
about,ADVERB,
above,ADVERB,
abreast,ADVERB,
abroad,ADVERB,
absentmindedly,ADVERB,
absolutely,ADVERB,
absorbedly,ADVERB,
abstractedly,ADVERB,
abstractly,ADVERB,
absurdly,ADVERB,
abundantly,ADVERB,
aburst,ADVERB,
academically,ADVERB,
accentually,ADVERB,
accessibly,ADVERB,
accessorily,ADVERB,
accordingly,ADVERB,
alarmedly,ADVERB,
accountably,ADVERB,
accurately,ADVERB,
accusatively,ADVERB,
acoustically,ADVERB,
acquisitively,ADVERB,
accusatorially,ADVERB,
acrimoniously,ADVERB,
across,ADVERB,
acrostically,ADVERB,
actively,ADVERB,
acutely,ADVERB,
adaptly,ADVERB,
additionally,ADVERB,
adequately,ADVERB,
adhesively,ADVERB,
adjacently,ADVERB,
adjectively,ADVERB,
adjunctly,ADVERB,
admirably,ADVERB,
admittedly,ADVERB,
adorably,ADVERB,
adoringly,ADVERB,
ADVERBially,ADVERB,
advisably,ADVERB,
affectedly,ADVERB,
afresh,ADVERB,
after,ADVERB,
again,ADVERB,
agonizingly,ADVERB,
agreeably,ADVERB,
aggravatingly,ADVERB,
all,ADVERB,
along,ADVERB,
already,ADVERB,
also,ADVERB,
afterward,ADVERB,
aggressively,ADVERB,
ago,ADVERB,
ahead,ADVERB,
alike,ADVERB,
allegedly,ADVERB,
alone,ADVERB,
aloud,ADVERB,
alright,ADVERB,
alternatively,ADVERB,
altogether,ADVERB,
annually,ADVERB,
anyhow,ADVERB,
anymore,ADVERB,
anyway,ADVERB,
anywhere,ADVERB,
apart,ADVERB,
apparently,ADVERB,
appropriately,ADVERB,
approximately,ADVERB,
arguably,ADVERB,
ashore,ADVERB,
aside,ADVERB,
astray,ADVERB,
automatically,ADVERB,
away,ADVERB,
awhile,ADVERB,
amblingly,ADVERB,
amorously,ADVERB,
amply,ADVERB,
analogically,ADVERB,
analytically,ADVERB,
anatomically,ADVERB,
ancestrally,ADVERB,
anciently,ADVERB,
angelically,ADVERB,
angularly,ADVERB,
animatedly,ADVERB,
any,ADVERB,
aptly,ADVERB,
astonishedly,ADVERB,
astonishingly,ADVERB,
astringently,ADVERB,
asunder,ADVERB,
atmostphereically,ADVERB,
atomically,ADVERB,
attributively,ADVERB,
audaciously,ADVERB,
audibly,ADVERB,
authentically,ADVERB,
