word,type,
after,CONJUNCTION,
after,CONJUNCTION,
although,CONJUNCTION,
and,CONJUNCTION,
as,CONJUNCTION,
because,CONJUNCTION,
before,CONJUNCTION,
before,CONJUNCTION,
but,CONJUNCTION,
for,CONJUNCTION,
how,CONJUNCTION,
inasmuch,CONJUNCTION,
lest,CONJUNCTION,
nor,CONJUNCTION,
now,CONJUNCTION,
or,CONJUNCTION,
provided,CONJUNCTION,
since,CONJUNCTION,
since,CONJUNCTION,
so,CONJUNCTION,
supposing,CONJUNCTION,
than,CONJUNCTION,
than,CONJUNCTION,
that,CONJUNCTION,
though,CONJUNCTION,
though,CONJUNCTION,
till,CONJUNCTION,
unless,CONJUNCTION,
unless,CONJUNCTION,
until,CONJUNCTION,
until,CONJUNCTION,
what,CONJUNCTION,
when,CONJUNCTION,
when,CONJUNCTION,
whenever,CONJUNCTION,
where,CONJUNCTION,
where,CONJUNCTION,
whereas,CONJUNCTION,
wherever,CONJUNCTION,
whether,CONJUNCTION,
while,CONJUNCTION,
while,CONJUNCTION,
whoever,CONJUNCTION,
whose,CONJUNCTION,
why,CONJUNCTION,
yet,CONJUNCTION,
