word,type,
abandonment,NOUN,
abasement,NOUN,
abashment,NOUN,
abatement,NOUN,
abbreviation,NOUN,
abdication,NOUN,
abduction,NOUN,
abductor,NOUN,
aberration,NOUN,
abhorrence,NOUN,
abilities,NOUN,
ability,NOUN,
abnormality,NOUN,
abolishment,NOUN,
abolitionist,NOUN,
abomination,NOUN,
abrasiveness,NOUN,
abridgement,NOUN,
abruptness,NOUN,
absence,NOUN,
absenteeism,NOUN,
absentmindedness,NOUN,
absoluteness,NOUN,
absolution,NOUN,
abstention,NOUN,
absurdity,NOUN,
abundance,NOUN,
abutment,NOUN,
abyss,NOUN,
accelerant,NOUN,
acceleration,NOUN,
acceptance,NOUN,
acceptor,NOUN,
access,NOUN,
accessibility,NOUN,
accessory,NOUN,
accident,NOUN,
acclaim,NOUN,
accommodation,NOUN,
accommodator,NOUN,
accompaniment,NOUN,
accompanist,NOUN,
accomplishment,NOUN,
accountability,NOUN,
accountant,NOUN,
accoutrement,NOUN,
accreditation,NOUN,
accruement,NOUN,
acculturation,NOUN,
accumulation,NOUN,
accumulator,NOUN,
accuracy,NOUN,
accurateness,NOUN,
accusation,NOUN,
accuser,NOUN,
achievement,NOUN,
achiness,NOUN,
acidity,NOUN,
acknowledgement,NOUN,
acquaintance,NOUN,
acquaintanceship,NOUN,
acquiescence,NOUN,
acquirement,NOUN,
acquisition,NOUN,
action,NOUN,
activation,NOUN,
activator,NOUN,
activism,NOUN,
activist,NOUN,
activity,NOUN,
actor,NOUN,
actuality,NOUN,
actualization,NOUN,
acuity,NOUN,
acupuncturist,NOUN,
acuteness,NOUN,
adaptability,NOUN,
adaptation,NOUN,
adaptor,NOUN,
addiction,NOUN,
addition,NOUN,
adeptness,NOUN,
adequacy,NOUN,
adherence,NOUN,
adhesiveness,NOUN,
adjournment,NOUN,
adjudication,NOUN,
adjudicator,NOUN,
adjustment,NOUN,
administration,NOUN,
administrator,NOUN,
admiration,NOUN,
admirer,NOUN,
admissibility,NOUN,
admission,NOUN,
admonishment,NOUN,
admonition,NOUN,
adolescence,NOUN,
adolescent,NOUN,
adoption,NOUN,
adoration,NOUN,
adornment,NOUN,
adroitness,NOUN,
adsorption,NOUN,
adulation,NOUN,
advancement,NOUN,
advances,NOUN,
advantage,NOUN,
advantageousness,NOUN,
adventure,NOUN,
adventurousness,NOUN,
adversity,NOUN,
advisement,NOUN,
advisor,NOUN,
advocacy,NOUN,
advocator,NOUN,
aerialist,NOUN,
aesthetician,NOUN,
affection,NOUN,
affinity,NOUN,
affirmation,NOUN,
affliction,NOUN,
affluence,NOUN,
affordability,NOUN,
age,NOUN,
agelessness,NOUN,
agent,NOUN,
aggrandizement,NOUN,
aggravation,NOUN,
aggregation,NOUN,
aggressiveness,NOUN,
aggressor,NOUN,
agility,NOUN,
agitation,NOUN,
agitator,NOUN,
agony,NOUN,
agreeability,NOUN,
agreement,NOUN,
aid,NOUN,
ailment,NOUN,
aimlessness,NOUN,
airmanship,NOUN,
airsickness,NOUN,
alarmist,NOUN,
alcoholism,NOUN,
alertness,NOUN,
alienation,NOUN,
alignment,NOUN,
alikeness,NOUN,
alkalinity,NOUN,
allegation,NOUN,
allegiance,NOUN,
allegory,NOUN,
alleviation,NOUN,
alliance,NOUN,
alliteration,NOUN,
allocation,NOUN,
allocution,NOUN,
allotment,NOUN,
allowance,NOUN,
allurement,NOUN,
allusions,NOUN,
allusiveness,NOUN,
aloofness,NOUN,
alphabetization,NOUN,
alteration,NOUN,
altercation,NOUN,
alternation,NOUN,
altruism,NOUN,
amalgamation,NOUN,
amateurishness,NOUN,
amazement,NOUN,
ambassador,NOUN,
ambassadorship,NOUN,
ambiance,NOUN,
ambience,NOUN,
ambiguity,NOUN,
ambition,NOUN,
ambitiousness,NOUN,
ambivalence,NOUN,
amendment,NOUN,
amenity,NOUN,
amicability,NOUN,
amortization,NOUN,
amphibian,NOUN,
amplification,NOUN,
amplitude,NOUN,
amputation,NOUN,
amusement,NOUN,
ancestor,NOUN,
anecdote,NOUN,
anesthesiologist,NOUN,
anger,NOUN,
angriness,NOUN,
angularity,NOUN,
animation,NOUN,
animator,NOUN,
animosity,NOUN,
annihilation,NOUN,
annihilator,NOUN,
announcement,NOUN,
annoyance,NOUN,
annuity,NOUN,
annulment,NOUN,
annunciation,NOUN,
anointment,NOUN,
anonymity,NOUN,
answer,NOUN,
antagonist,NOUN,
antecedence,NOUN,
antecedent,NOUN,
anthropomorphism,NOUN,
anticipation,NOUN,
anticipator,NOUN,
anticoagulant,NOUN,
anticonvulsant,NOUN,
antidepressant,NOUN,
antifascist,NOUN,
antioxidant,NOUN,
antiperspirant,NOUN,
antiracist,NOUN,
antithesis,NOUN,
anxieties,NOUN,
anxiety,NOUN,
anxiousness,NOUN,
apartness,NOUN,
apathy,NOUN,
apishness,NOUN,
apologist,NOUN,
apologizer,NOUN,
apology,NOUN,
apostleship,NOUN,
apparition,NOUN,
appeal,NOUN,
appearance,NOUN,
appeasement,NOUN,
appellation,NOUN,
applicability,NOUN,
applicant,NOUN,
application,NOUN,
appointment,NOUN,
apportionment,NOUN,
appraisal,NOUN,
appraisement,NOUN,
appreciation,NOUN,
apprehensiveness,NOUN,
apprenticeship,NOUN,
approachability,NOUN,
appropriateness,NOUN,
appropriation,NOUN,
appropriator,NOUN,
approval,NOUN,
approximation,NOUN,
aptitude,NOUN,
aptness,NOUN,
apéritif,NOUN,
arbitration,NOUN,
arbitrator,NOUN,
arborist,NOUN,
archaeologist,NOUN,
ardor,NOUN,
argument,NOUN,
aristocracy,NOUN,
armament,NOUN,
arraignment,NOUN,
arrangement,NOUN,
arrestor,NOUN,
arrogance,NOUN,
arsonist,NOUN,
artfulness,NOUN,
articulacy,NOUN,
articulation,NOUN,
articulator,NOUN,
artificiality,NOUN,
artiness,NOUN,
artisanship,NOUN,
artist,NOUN,
artistry,NOUN,
artlessness,NOUN,
ascendance,NOUN,
ascertainment,NOUN,
aspect,NOUN,
aspersions,NOUN,
aspiration,NOUN,
assailant,NOUN,
assent,NOUN,
assertion,NOUN,
