word,type,
all,PRONOUN,
another,PRONOUN,
any,PRONOUN,
anybody,PRONOUN,
anyone,PRONOUN,
anything,PRONOUN,
as,PRONOUN,
aught,PRONOUN,
both,PRONOUN,
each,PRONOUN,
each other,PRONOUN,
either,PRONOUN,
enough,PRONOUN,
everybody,PRONOUN,
everyone,PRONOUN,
everything,PRONOUN,
few,PRONOUN,
he,PRONOUN,
her,PRONOUN,
hers,PRONOUN,
herself,PRONOUN,
him,PRONOUN,
himself,PRONOUN,
his,PRONOUN,
I,PRONOUN,
idem,PRONOUN,
it,PRONOUN,
its,PRONOUN,
itself,PRONOUN,
many,PRONOUN,
me,PRONOUN,
mine,PRONOUN,
most,PRONOUN,
my,PRONOUN,
myself,PRONOUN,
naught,PRONOUN,
neither,PRONOUN,
no one,PRONOUN,
nobody,PRONOUN,
none,PRONOUN,
nothing,PRONOUN,
nought,PRONOUN,
one,PRONOUN,
one-another,PRONOUN,
other,PRONOUN,
others,PRONOUN,
ought,PRONOUN,
our,PRONOUN,
ours,PRONOUN,
ourself,PRONOUN,
ourselves,PRONOUN,
several,PRONOUN,
she,PRONOUN,
some,PRONOUN,
somebody,PRONOUN,
someone,PRONOUN,
something,PRONOUN,
somewhat,PRONOUN,
such,PRONOUN,
suchlike,PRONOUN,
that,PRONOUN,
thee,PRONOUN,
their,PRONOUN,
theirs,PRONOUN,
theirself,PRONOUN,
theirselves,PRONOUN,
them,PRONOUN,
themself,PRONOUN,
themselves,PRONOUN,
there,PRONOUN,
these,PRONOUN,
they,PRONOUN,
thine,PRONOUN,
this,PRONOUN,
those,PRONOUN,
thou,PRONOUN,
thy,PRONOUN,
thyself,PRONOUN,
us,PRONOUN,
we,PRONOUN,
what,PRONOUN,
whatever,PRONOUN,
whatnot,PRONOUN,
whatsoever,PRONOUN,
whence,PRONOUN,
where,PRONOUN,
whereby,PRONOUN,
wherefrom,PRONOUN,
wherein,PRONOUN,
whereinto,PRONOUN,
whereof,PRONOUN,
whereon,PRONOUN,
wherever,PRONOUN,
wheresoever,PRONOUN,
whereto,PRONOUN,
whereunto,PRONOUN,
wherewith,PRONOUN,
wherewithal,PRONOUN,
whether,PRONOUN,
which,PRONOUN,
whichever,PRONOUN,
whichsoever,PRONOUN,
who,PRONOUN,
whoever,PRONOUN,
whom,PRONOUN,
whomever,PRONOUN,
whomso,PRONOUN,
whomsoever,PRONOUN,
whose,PRONOUN,
whosever,PRONOUN,
whosesoever,PRONOUN,
whoso,PRONOUN,
whosoever,PRONOUN,
ye,PRONOUN,
yon,PRONOUN,
yonder,PRONOUN,
you,PRONOUN,
your,PRONOUN,
yours,PRONOUN,
yourself,PRONOUN,
yourselves,PRONOUN,
